state,state_abbreviation,county,fips,party,candidate,votes,fraction_votes
Alabama,AL,Escambia,1053,Republican,Donald Trump,2817,0.493
Alabama,AL,Escambia,1053,Republican,Marco Rubio,1028,0.18
Alabama,AL,Escambia,1053,Republican,Ted Cruz,978,0.171
Alabama,AL,Escambia,1053,Republican,Ben Carson,585,0.102
Alabama,AL,Escambia,1053,Republican,John Kasich,194,0.034
Alabama,AL,Escambia,1053,Democrat,Hillary Clinton,2027,0.885
Alabama,AL,Escambia,1053,Democrat,Bernie Sanders,226,0.099
Alabama,AL,Etowah,1055,Republican,Donald Trump,8657,0.461
Alabama,AL,Etowah,1055,Republican,Ted Cruz,3891,0.207
Alabama,AL,Etowah,1055,Republican,Marco Rubio,3155,0.168
Alabama,AL,Etowah,1055,Republican,Ben Carson,2098,0.11199999999999999
Alabama,AL,Etowah,1055,Republican,John Kasich,616,0.033
Alabama,AL,Etowah,1055,Democrat,Hillary Clinton,4262,0.746
Alabama,AL,Etowah,1055,Democrat,Bernie Sanders,1289,0.226
Alabama,AL,Fayette,1057,Republican,Donald Trump,2479,0.499
Alabama,AL,Fayette,1057,Republican,Ted Cruz,1043,0.21
Alabama,AL,Fayette,1057,Republican,Marco Rubio,663,0.133
Alabama,AL,Fayette,1057,Republican,Ben Carson,488,0.098
Alabama,AL,Fayette,1057,Republican,John Kasich,124,0.025
Alabama,AL,Fayette,1057,Democrat,Hillary Clinton,660,0.767
Alabama,AL,Fayette,1057,Democrat,Bernie Sanders,148,0.172
Alabama,AL,Franklin,1059,Republican,Donald Trump,2155,0.515
Alabama,AL,Franklin,1059,Republican,Ted Cruz,892,0.213
Alabama,AL,Franklin,1059,Republican,Marco Rubio,562,0.134
Alabama,AL,Franklin,1059,Republican,Ben Carson,388,0.09300000000000001
Alabama,AL,Franklin,1059,Republican,John Kasich,107,0.026000000000000002
Alabama,AL,Franklin,1059,Democrat,Hillary Clinton,1233,0.484
Alabama,AL,Franklin,1059,Democrat,Bernie Sanders,767,0.301
Alabama,AL,Geneva,1061,Republican,Donald Trump,3106,0.486
Alabama,AL,Geneva,1061,Republican,Ted Cruz,1517,0.237
Alabama,AL,Geneva,1061,Republican,Marco Rubio,829,0.13
Alabama,AL,Geneva,1061,Republican,Ben Carson,592,0.09300000000000001
Alabama,AL,Geneva,1061,Republican,John Kasich,146,0.023
Alabama,AL,Geneva,1061,Democrat,Hillary Clinton,544,0.7490000000000001
Alabama,AL,Geneva,1061,Democrat,Bernie Sanders,157,0.21600000000000003
Alabama,AL,Greene,1063,Republican,Donald Trump,147,0.5379999999999999
Alabama,AL,Greene,1063,Republican,Ted Cruz,59,0.21600000000000003
Alabama,AL,Greene,1063,Republican,Marco Rubio,33,0.121
Alabama,AL,Greene,1063,Republican,Ben Carson,19,0.07
Alabama,AL,Greene,1063,Republican,John Kasich,10,0.037000000000000005
Alabama,AL,Greene,1063,Democrat,Hillary Clinton,2714,0.9009999999999999
Alabama,AL,Greene,1063,Democrat,Bernie Sanders,213,0.071
Alabama,AL,Hale,1065,Republican,Donald Trump,590,0.521
Alabama,AL,Hale,1065,Republican,Ted Cruz,283,0.25
Alabama,AL,Hale,1065,Republican,Marco Rubio,132,0.11699999999999999
Alabama,AL,Hale,1065,Republican,Ben Carson,88,0.078
Alabama,AL,Hale,1065,Republican,John Kasich,24,0.021
Alabama,AL,Hale,1065,Democrat,Hillary Clinton,2426,0.7959999999999999
Alabama,AL,Hale,1065,Democrat,Bernie Sanders,427,0.14
Alabama,AL,Henry,1067,Republican,Donald Trump,1778,0.46799999999999997
Alabama,AL,Henry,1067,Republican,Ted Cruz,847,0.223
Alabama,AL,Henry,1067,Republican,Marco Rubio,545,0.14300000000000002
Alabama,AL,Henry,1067,Republican,Ben Carson,436,0.115
Alabama,AL,Henry,1067,Republican,John Kasich,107,0.027999999999999997
Alabama,AL,Henry,1067,Democrat,Hillary Clinton,1170,0.856
Alabama,AL,Henry,1067,Democrat,Bernie Sanders,163,0.11900000000000001
Alabama,AL,Houston,1069,Republican,Donald Trump,8171,0.40399999999999997
Alabama,AL,Houston,1069,Republican,Ted Cruz,4558,0.225
Alabama,AL,Houston,1069,Republican,Marco Rubio,3683,0.182
Alabama,AL,Houston,1069,Republican,Ben Carson,2310,0.114
Alabama,AL,Houston,1069,Republican,John Kasich,836,0.040999999999999995
Alabama,AL,Houston,1069,Democrat,Hillary Clinton,3044,0.7829999999999999
Alabama,AL,Houston,1069,Democrat,Bernie Sanders,780,0.201
Alabama,AL,Jackson,1071,Republican,Donald Trump,5463,0.499
Alabama,AL,Jackson,1071,Republican,Marco Rubio,1847,0.16899999999999998
Alabama,AL,Jackson,1071,Republican,Ted Cruz,1791,0.16399999999999998
Alabama,AL,Jackson,1071,Republican,Ben Carson,1185,0.10800000000000001
Alabama,AL,Jackson,1071,Republican,John Kasich,310,0.027999999999999997
Alabama,AL,Jackson,1071,Democrat,Hillary Clinton,1327,0.7
Alabama,AL,Jackson,1071,Democrat,Bernie Sanders,510,0.26899999999999996
Alabama,AL,Jefferson,1073,Republican,Donald Trump,32853,0.35
Alabama,AL,Jefferson,1073,Republican,Marco Rubio,23132,0.247
Alabama,AL,Jefferson,1073,Republican,Ted Cruz,22355,0.23800000000000002
Alabama,AL,Jefferson,1073,Republican,Ben Carson,8368,0.08900000000000001
Alabama,AL,Jefferson,1073,Republican,John Kasich,5711,0.061
Alabama,AL,Jefferson,1073,Democrat,Hillary Clinton,67357,0.816
Alabama,AL,Jefferson,1073,Democrat,Bernie Sanders,14319,0.174
Alabama,AL,Lamar,1075,Republican,Donald Trump,1810,0.504
Alabama,AL,Lamar,1075,Republican,Ted Cruz,692,0.193
Alabama,AL,Lamar,1075,Republican,Marco Rubio,466,0.13
Alabama,AL,Lamar,1075,Republican,Ben Carson,344,0.096
Alabama,AL,Lamar,1075,Republican,John Kasich,103,0.028999999999999998
Alabama,AL,Lamar,1075,Democrat,Hillary Clinton,442,0.616
Alabama,AL,Lamar,1075,Democrat,Bernie Sanders,173,0.24100000000000002
Alabama,AL,Lauderdale,1077,Republican,Donald Trump,7502,0.42100000000000004
Alabama,AL,Lauderdale,1077,Republican,Marco Rubio,3320,0.187
Alabama,AL,Lauderdale,1077,Republican,Ted Cruz,3265,0.183
Alabama,AL,Lauderdale,1077,Republican,Ben Carson,2151,0.121
Alabama,AL,Lauderdale,1077,Republican,John Kasich,983,0.055
Alabama,AL,Lauderdale,1077,Democrat,Hillary Clinton,3676,0.652
Alabama,AL,Lauderdale,1077,Democrat,Bernie Sanders,1745,0.309
Alabama,AL,Lawrence,1079,Republican,Donald Trump,3604,0.528
Alabama,AL,Lawrence,1079,Republican,Ted Cruz,1204,0.17600000000000002
Alabama,AL,Lawrence,1079,Republican,Marco Rubio,925,0.135
Alabama,AL,Lawrence,1079,Republican,Ben Carson,733,0.107
Alabama,AL,Lawrence,1079,Republican,John Kasich,196,0.028999999999999998
Alabama,AL,Lawrence,1079,Democrat,Hillary Clinton,2047,0.777
Alabama,AL,Lawrence,1079,Democrat,Bernie Sanders,428,0.162
Alabama,AL,Lee,1081,Republican,Donald Trump,6934,0.33
Alabama,AL,Lee,1081,Republican,Ted Cruz,4880,0.23199999999999998
Alabama,AL,Lee,1081,Republican,Marco Rubio,4734,0.225
Alabama,AL,Lee,1081,Republican,Ben Carson,2460,0.11699999999999999
Alabama,AL,Lee,1081,Republican,John Kasich,1501,0.071
Alabama,AL,Lee,1081,Democrat,Hillary Clinton,7137,0.736
Alabama,AL,Lee,1081,Democrat,Bernie Sanders,2464,0.254
Alabama,AL,Limestone,1083,Republican,Donald Trump,8198,0.43
Alabama,AL,Limestone,1083,Republican,Ted Cruz,4082,0.214
Alabama,AL,Limestone,1083,Republican,Marco Rubio,3602,0.18899999999999997
Alabama,AL,Limestone,1083,Republican,Ben Carson,2061,0.10800000000000001
Alabama,AL,Limestone,1083,Republican,John Kasich,746,0.039
Alabama,AL,Limestone,1083,Democrat,Hillary Clinton,3199,0.728
Alabama,AL,Limestone,1083,Democrat,Bernie Sanders,1120,0.255
Alabama,AL,Lowndes,1085,Republican,Donald Trump,500,0.595
Alabama,AL,Lowndes,1085,Republican,Ted Cruz,137,0.163
Alabama,AL,Lowndes,1085,Republican,Ben Carson,88,0.105
Alabama,AL,Lowndes,1085,Republican,Marco Rubio,83,0.099
Alabama,AL,Lowndes,1085,Republican,John Kasich,26,0.031
Alabama,AL,Lowndes,1085,Democrat,Hillary Clinton,3782,0.887
Alabama,AL,Lowndes,1085,Democrat,Bernie Sanders,330,0.077
Alabama,AL,Macon,1087,Republican,Donald Trump,356,0.48
Alabama,AL,Macon,1087,Republican,Ted Cruz,147,0.198
Alabama,AL,Macon,1087,Republican,Ben Carson,94,0.127
Alabama,AL,Macon,1087,Republican,Marco Rubio,92,0.124
Alabama,AL,Macon,1087,Republican,John Kasich,39,0.053
Alabama,AL,Macon,1087,Democrat,Hillary Clinton,4293,0.892
Alabama,AL,Macon,1087,Democrat,Bernie Sanders,483,0.1
Alabama,AL,Madison,1089,Republican,Donald Trump,23791,0.36200000000000004
Alabama,AL,Madison,1089,Republican,Marco Rubio,17116,0.26
Alabama,AL,Madison,1089,Republican,Ted Cruz,13622,0.207
Alabama,AL,Madison,1089,Republican,Ben Carson,6293,0.096
Alabama,AL,Madison,1089,Republican,John Kasich,3919,0.06
Alabama,AL,Madison,1089,Democrat,Hillary Clinton,19995,0.6859999999999999
Alabama,AL,Madison,1089,Democrat,Bernie Sanders,8786,0.301
Alabama,AL,Marengo,1091,Republican,Donald Trump,580,0.539
Alabama,AL,Marengo,1091,Republican,Ted Cruz,228,0.212
Alabama,AL,Marengo,1091,Republican,Marco Rubio,127,0.11800000000000001
Alabama,AL,Marengo,1091,Republican,Ben Carson,85,0.079
Alabama,AL,Marengo,1091,Republican,John Kasich,26,0.024
Alabama,AL,Marengo,1091,Democrat,Hillary Clinton,3590,0.6579999999999999
Alabama,AL,Marengo,1091,Democrat,Bernie Sanders,1092,0.2
Alabama,AL,Marion,1093,Republican,Donald Trump,3503,0.529
Alabama,AL,Marion,1093,Republican,Ted Cruz,1268,0.192
Alabama,AL,Marion,1093,Republican,Marco Rubio,921,0.139
Alabama,AL,Marion,1093,Republican,Ben Carson,589,0.08900000000000001
Alabama,AL,Marion,1093,Republican,John Kasich,167,0.025
Alabama,AL,Marion,1093,Democrat,Hillary Clinton,567,0.655
Alabama,AL,Marion,1093,Democrat,Bernie Sanders,256,0.29600000000000004
Alabama,AL,Marshall,1095,Republican,Donald Trump,9115,0.495
Alabama,AL,Marshall,1095,Republican,Marco Rubio,3785,0.20600000000000002
Alabama,AL,Marshall,1095,Republican,Ted Cruz,2784,0.151
Alabama,AL,Marshall,1095,Republican,Ben Carson,1813,0.098
Alabama,AL,Marshall,1095,Republican,John Kasich,595,0.032
Alabama,AL,Marshall,1095,Democrat,Hillary Clinton,1494,0.621
Alabama,AL,Marshall,1095,Democrat,Bernie Sanders,821,0.341
Alabama,AL,Mobile,1097,Republican,Donald Trump,28326,0.452
Alabama,AL,Mobile,1097,Republican,Ted Cruz,13458,0.215
Alabama,AL,Mobile,1097,Republican,Marco Rubio,11850,0.18899999999999997
Alabama,AL,Mobile,1097,Republican,Ben Carson,4824,0.077
Alabama,AL,Mobile,1097,Republican,John Kasich,2893,0.046
Alabama,AL,Mobile,1097,Democrat,Hillary Clinton,28927,0.8270000000000001
Alabama,AL,Mobile,1097,Democrat,Bernie Sanders,5672,0.162
Alabama,AL,Monroe,1099,Republican,Donald Trump,1966,0.521
Alabama,AL,Monroe,1099,Republican,Ted Cruz,658,0.174
Alabama,AL,Monroe,1099,Republican,Marco Rubio,596,0.158
Alabama,AL,Monroe,1099,Republican,Ben Carson,373,0.099
Alabama,AL,Monroe,1099,Republican,John Kasich,108,0.028999999999999998
Alabama,AL,Monroe,1099,Democrat,Hillary Clinton,2438,0.909
Alabama,AL,Monroe,1099,Democrat,Bernie Sanders,205,0.076
Alabama,AL,Montgomery,1101,Republican,Donald Trump,10517,0.39399999999999996
Alabama,AL,Montgomery,1101,Republican,Marco Rubio,5570,0.209
Alabama,AL,Montgomery,1101,Republican,Ted Cruz,4700,0.17600000000000002
Alabama,AL,Montgomery,1101,Republican,Ben Carson,3379,0.127
Alabama,AL,Montgomery,1101,Republican,John Kasich,1953,0.073
Alabama,AL,Montgomery,1101,Democrat,Hillary Clinton,28650,0.862
Alabama,AL,Montgomery,1101,Democrat,Bernie Sanders,4266,0.128
Alabama,AL,Morgan,1103,Republican,Donald Trump,10909,0.446
Alabama,AL,Morgan,1103,Republican,Ted Cruz,4828,0.19699999999999998
Alabama,AL,Morgan,1103,Republican,Marco Rubio,4488,0.183
Alabama,AL,Morgan,1103,Republican,Ben Carson,2790,0.114
Alabama,AL,Morgan,1103,Republican,John Kasich,1109,0.045
Alabama,AL,Morgan,1103,Democrat,Hillary Clinton,3897,0.731
Alabama,AL,Morgan,1103,Democrat,Bernie Sanders,1345,0.252
Alabama,AL,Perry,1105,Republican,Donald Trump,192,0.515
Alabama,AL,Perry,1105,Republican,Ted Cruz,123,0.33
Alabama,AL,Perry,1105,Republican,Marco Rubio,33,0.08800000000000001
Alabama,AL,Perry,1105,Republican,Ben Carson,15,0.04
Alabama,AL,Perry,1105,Republican,John Kasich,2,0.005
Alabama,AL,Perry,1105,Democrat,Hillary Clinton,2575,0.82
Alabama,AL,Perry,1105,Democrat,Bernie Sanders,389,0.124
Alabama,AL,Pickens,1107,Republican,Donald Trump,1124,0.441
Alabama,AL,Pickens,1107,Republican,Ted Cruz,658,0.258
Alabama,AL,Pickens,1107,Republican,Marco Rubio,353,0.138
Alabama,AL,Pickens,1107,Republican,Ben Carson,287,0.113
Alabama,AL,Pickens,1107,Republican,John Kasich,65,0.025
Alabama,AL,Pickens,1107,Democrat,Hillary Clinton,2326,0.762
Alabama,AL,Pickens,1107,Democrat,Bernie Sanders,453,0.14800000000000002
Alabama,AL,Pike,1109,Republican,Donald Trump,2493,0.46
Alabama,AL,Pike,1109,Republican,Ted Cruz,1092,0.201
Alabama,AL,Pike,1109,Republican,Marco Rubio,798,0.147
Alabama,AL,Pike,1109,Republican,Ben Carson,698,0.129
Alabama,AL,Pike,1109,Republican,John Kasich,172,0.032
Alabama,AL,Pike,1109,Democrat,Hillary Clinton,2183,0.8370000000000001
Alabama,AL,Pike,1109,Democrat,Bernie Sanders,379,0.145
Alabama,AL,Randolph,1111,Republican,Donald Trump,2352,0.516
Alabama,AL,Randolph,1111,Republican,Ted Cruz,942,0.207
Alabama,AL,Randolph,1111,Republican,Marco Rubio,584,0.128
Alabama,AL,Randolph,1111,Republican,Ben Carson,426,0.09300000000000001
Alabama,AL,Randolph,1111,Republican,John Kasich,133,0.028999999999999998
Alabama,AL,Randolph,1111,Democrat,Hillary Clinton,1236,0.706
Alabama,AL,Randolph,1111,Democrat,Bernie Sanders,328,0.187
Alabama,AL,Russell,1113,Republican,Donald Trump,1784,0.474
Alabama,AL,Russell,1113,Republican,Ted Cruz,1016,0.27
Alabama,AL,Russell,1113,Republican,Marco Rubio,463,0.12300000000000001
